CountyID;Name;VoievodshipID;SENAT;SEJM;SEJMIK;EUROPARLAMENT
142600;siedlecki;14;48;18;1406;5
142700;sierpecki;14;38;16;1404;5
142800;sochaczewski;14;38;16;1404;5
142900;sokołowski;14;48;18;1406;5
143000;szydłowiecki;14;50;17;1405;5
143200;warszawski zachodni;14;40;20;1407;4
143300;węgrowski;14;47;18;1406;5
143400;wołomiński;14;40;20;1407;4
143500;wyszkowski;14;46;18;1406;5
143600;zwoleński;14;50;17;1405;5
143700;żuromiński;14;39;16;1404;5
143800;żyrardowski;14;38;16;1404;5
146100;Ostrołęka;14;46;18;1406;5
146200;Płock;14;38;16;1404;5
146300;Radom;14;50;17;1405;5
146400;Siedlce;14;48;18;1406;5
146501;Warszawa;14;;19;140;4
160100;brzeski;16;51;21;1605;12
160200;głubczycki;16;53;21;1604;12
160300;kędzierzyńsko-kozielski;16;53;21;1603;12
160400;kluczborski;16;51;21;1602;12
160500;krapkowicki;16;53;21;1604;12
160600;namysłowski;16;51;21;1602;12
160700;nyski;16;51;21;1605;12
160800;oleski;16;53;21;1602;12
160900;opolski;16;52;21;1601;12
161000;prudnicki;16;51;21;1604;12
161100;strzelecki;16;53;21;1603;12
166100;Opole;16;52;21;1601;12
180100;bieszczadzki;18;58;22;1805;9
180200;brzozowski;18;57;22;1805;9
180300;dębicki;18;55;23;1802;9
180400;jarosławski;18;58;22;1804;9
180500;jasielski;18;57;22;1805;9
180600;kolbuszowski;18;55;23;1803;9
180700;krośnieński;18;57;22;1805;9
180800;leżajski;18;54;23;1801;9
180900;lubaczowski;18;58;22;1804;9
181000;łańcucki;18;56;23;1801;9
181100;mielecki;18;55;23;1802;9
181200;niżański;18;54;23;1803;9
181300;przemyski;18;58;22;1804;9
181400;przeworski;18;58;22;1804;9
181500;ropczycko-sędziszowski;18;55;23;1802;9
181600;rzeszowski;18;56;23;1801;9
181700;sanocki;18;58;22;1805;9
181800;stalowowolski;18;54;23;1803;9
181900;strzyżowski;18;55;23;1802;9
182000;tarnobrzeski;18;54;23;1803;9
182100;leski;18;58;22;1805;9
186100;Krosno;18;57;22;1805;9
186200;Przemyśl;18;58;22;1804;9
186300;Rzeszów;18;56;23;1801;9
186400;Tarnobrzeg;18;54;23;1803;9
200100;augustowski;20;59;24;2002;3
200200;białostocki;20;60;24;2004;3
200300;bielski;20;61;24;2004;3
200400;grajewski;20;59;24;2003;3
200500;hajnowski;20;61;24;2004;3
200600;kolneński;20;59;24;2003;3
200700;łomżyński;20;59;24;2003;3
200800;moniecki;20;59;24;2002;3
200900;sejneński;20;59;24;2002;3
201000;siemiatycki;20;61;24;2004;3
201100;sokólski;20;60;24;2002;3
201200;suwalski;20;59;24;2002;3
201300;wysokomazowiecki;20;61;24;2004;3
201400;zambrowski;20;59;24;2003;3
206100;Białystok;20;60;24;2001;3
206200;Łomża;20;59;24;2003;3
206300;Suwałki;20;59;24;2002;3
220100;bytowski;22;63;26;2201;1
220200;chojnicki;22;63;26;2201;1
220300;człuchowski;22;63;26;2201;1
220400;gdański;22;66;25;2204;1
220500;kartuski;22;63;26;2204;1
220600;kościerski;22;63;26;2204;1
220700;kwidzyński;22;67;25;2205;1
220800;lęborski;22;62;26;2201;1
220900;malborski;22;67;25;2205;1
221000;nowodworski;22;67;25;2205;1
221100;pucki;22;64;26;2202;1
221200;słupski;22;62;26;2201;1
221300;starogardzki;22;66;25;2204;1
221400;tczewski;22;66;25;2205;1
221500;wejherowski;22;62;26;2202;1
221600;sztumski;22;67;25;2205;1
226100;Gdańsk;22;65;25;2203;1
226200;Gdynia;22;64;26;2202;1
226300;Słupsk;22;62;26;2201;1
226400;Sopot;22;65;25;2202;1
240100;będziński;24;76;32;2407;11
240200;bielski;24;78;27;2401;11
240300;cieszyński;24;79;27;2401;11
240400;częstochowski;24;68;28;2406;11
240500;gliwicki;24;70;29;2404;11
240600;kłobucki;24;68;28;2406;11
240700;lubliniecki;24;68;28;2404;11
240800;mikołowski;24;73;30;2403;11
240900;myszkowski;24;68;28;2406;11
241000;pszczyński;24;78;27;2402;11
241100;raciborski;24;72;30;2403;11
241200;rybnicki;24;73;30;2403;11
241300;tarnogórski;24;70;29;2404;11
241400;bieruńsko-lędziński;24;75;31;2402;11
241500;wodzisławski;24;72;30;2403;11
